SOURCE CODE	SPECIATION	ISOLATE	ISOLATION SOURCE	LOCATION	SPECIFIC LOCATION	VNCO	TEIC	AMPI	DOXY	ERTH	NTRO	GENT	LNZD	LVFL	QUIN	STEP	TGC		Resistance count
BP	Enterococcus faecalis	BP-R29-2	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	S	S	S	S	I	R	S	S		1
BP	Enterococcus faecalis	BP-R30-1	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-R37-3	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	S	S	S	S	I	R	S	S		1
BP	Enterococcus faecalis	BP-R43E-1	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	R	S	S	S	I	R	S	S		2
BP	Enterococcus faecalis	BP-R49-3	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-R50-2	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	I	S	S	S	S	R	S	S		2
BP	Enterococcus faecalis	BP-R51-2	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	S	S	S		0
BP	Enterococcus faecalis	BP-R52-1	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	S	S	S	S	I	R	S	S		1
BP	Enterococcus faecalis	BP-R53-2	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	R	S	S	S	S	R	S	S		2
BP	Enterococcus faecalis	BP-R5E-3	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	R	S	S	S	S	R	S	S		3
BP	Enterococcus faecalis	BP-R7-1	Retail beef	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	S	S	S	S	S	R	S	S		1
BP	Enterococcus faecalis	BP-W141-1	Carcass after final wash	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	S	S	S		0
BP	Enterococcus faecalis	BP-W19-2	Carcass after final wash	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	R	S	S	S	S	S	R	S	S		2
BP	Enterococcus faecalis	BP-W84-1	Carcass after final wash	Canada: Alberta	53.9333° N, 116.5765° W	S	ND	S	S	I	S	S	S	S	I	S	S		0
CB	Enterococcus faecalis	0094A	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	S	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0094B	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	S	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0094C	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	S	S	S	S	S	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0094D	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	I	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0103B	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	I	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0104B	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	S	S	S	S	S	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0104C	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	S	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0121I	Feedlot B	Canada: Alberta	49.9315° N, 112.6889° W	S	S	S	R	R	S	S	S	S	S	R	S		3
CB	Enterococcus faecalis	0121J	Feedlot B	Canada: Alberta	49.9315° N, 112.6889° W	S	S	S	R	R	S	S	S	S	R	S	S		3
CB	Enterococcus faecalis	0126C	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	S	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	0140C	Feedlot D	Canada: Alberta	53.4941° N, 112.0539° W	S	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	EntR_0146	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	R	R	S	S	S	S	R	S	S		3
CB	Enterococcus faecalis	EntR_0147	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	R	R	S	S	S	S	R	S	S		3
CB	Enterococcus faecalis	EntR_0148	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	R	R	S	S	S	S	R	S	S		3
CB	Enterococcus faecalis	EntR_0152	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	I	S	S	I	R	S	S	S	S	R	S	S		2
CB	Enterococcus faecalis	EntR_0153	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	R	R	S	S	S	S	R	S	S		3
CB	Enterococcus faecalis	Ent_0261	Feedlot A	Canada: Alberta	51.4962° N, 113.5103° W	S	S	S	I	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	Ent_0289	Feedlot A	Canada: Alberta	51.4962° N, 113.5103° W	I	S	S	R	S	S	S	S	S	R	S	S		2
CB	Enterococcus faecalis	SWEnt_1103	Feedlot A	Canada: Alberta	51.4962° N, 113.5103° W	S	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	SWEnt_1134	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	S	I	S	S	S	S	R	S	S		1
CB	Enterococcus faecalis	SWEnt_1223	Feedlot A	Canada: Alberta	51.4962° N, 113.5103° W	I	S	S	S	I	S	S	S	I	R	S	S		1
CB	Enterococcus faecalis	SWEntR 0244	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	I	R	S	S	S	S	S	S	S		1
CB	Enterococcus faecalis	SWEntR 0252	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	R	R	I	S	S	S	S	S	S		2
CB	Enterococcus faecalis	SWEntR 0271	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	R	R	S	S	S	S	S	S	S		2
CB	Enterococcus faecalis	SWEntR 0278	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	S	R	S	S	S	I	I	S	S		1
CB	Enterococcus faecalis	SWEntR 0376	Feedlot C	Canada: Alberta	50.3494° N, 113.7750° W	S	S	S	R	R	S	S	S	S	S	S	R		3
NSS	Enterococcus faecalis	NS0004	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0020	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0047	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	R	S	R	R	S	S		4
NSS	Enterococcus faecalis	NS0053	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0057	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	R	S	R	R	S	S		4
NSS	Enterococcus faecalis	NS0062	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS0077	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS0079	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	R	R	R	S		4
NSS	Enterococcus faecalis	NS0080	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0093	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0095	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS0098	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0108	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	R	S	R	I	S	S		2
NSS	Enterococcus faecalis	NS0109	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0114	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS0131	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS0147	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0150	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0159	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	I	S	S	S	I	S	S	S	S	R	S	R		2
NSS	Enterococcus faecalis	NS0170	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	R	R	R	S		5
NSS	Enterococcus faecalis	NS0188	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	I	S	I	R	S	S		3
NSS	Enterococcus faecalis	NS0194	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0199	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	R	S		4
NSS	Enterococcus faecalis	NS0200	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0205	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0209	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	S	R	S		3
NSS	Enterococcus faecalis	NS0217	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0228	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0229	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0238	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	R	R	R	S		4
NSS	Enterococcus faecalis	NS0259	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	R	R	R	S		4
NSS	Enterococcus faecalis	NS0272	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0290	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0294	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	I	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0305	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	R	S	S	R	S	S		4
NSS	Enterococcus faecalis	NS0316	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0330	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	I	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0331	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0332	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	I	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0340	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0354	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0355	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0372	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS0383	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	S	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0395	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	I	S	S		2
NSS	Enterococcus faecalis	NS0405	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	S	S	S		0
NSS	Enterococcus faecalis	NS0442	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	R	S	S	S		1
NSS	Enterococcus faecalis	NS0501	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	R	S	S	S	S	S		1
NSS	Enterococcus faecalis	NS0539	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	R	S	S	S		1
NSS	Enterococcus faecalis	NS0563	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	S	S	S	S	R	S	S	S		1
NSS	Enterococcus faecalis	NS0580	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	I	S	S	R	R	S	R	S	R	I	R	S		5
NSS	Enterococcus faecalis	NS0583	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	I	S	S	R	R	S	S	S	S	S	S	S		2
NSS	Enterococcus faecalis	NS0601	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	I	S	S	S	I	S	S	S						0
NSS	Enterococcus faecalis	NS0613	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0625	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0642	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	R	S		4
NSS	Enterococcus faecalis	NS0657	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	S	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0672	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	I	S	R	S	S		1
NSS	Enterococcus faecalis	NS0687	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS0717	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	R	S	S	R	S	S		4
NSS	Enterococcus faecalis	NS0722	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	S	S	R	S	R	I	S	S		2
NSS	Enterococcus faecalis	NS0747	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0760	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	R	S		3
NSS	Enterococcus faecalis	NS0761	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0763	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0787	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	R	R	S	S		4
NSS	Enterococcus faecalis	NS0800	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	S	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0822	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	R	S	R	I	S	S		3
NSS	Enterococcus faecalis	NS0834	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	R	S	R	I	R	R	S	R		5
NSS	Enterococcus faecalis	NS0841	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	R	S	R	R	S		5
NSS	Enterococcus faecalis	NS0867	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0884	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS0889	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	R	S	R	R	R	S		5
NSS	Enterococcus faecalis	NS0898	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	S	S	S		0
NSS	Enterococcus faecalis	NS0910	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	R	S	R	R	S	S		4
NSS	Enterococcus faecalis	NS0992	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1020	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	S	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1027	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS1066	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1068	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	S	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS1091	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS1105	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	I	S	R	S	S		3
NSS	Enterococcus faecalis	NS1106	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1107	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS1114	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS1117	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	I	S	R	S	S		1
NSS	Enterococcus faecalis	NS1124	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1131	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1132	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	S	I	S	S		1
NSS	Enterococcus faecalis	NS1162	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	S	S	S	I	S	I	S	S		0
NSS	Enterococcus faecalis	NS1171	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS1172	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	S	I	S	S		1
NSS	Enterococcus faecalis	NS1180	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS1184	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	S	S	R	S	R	R	S	S		3
NSS	Enterococcus faecalis	NS1200	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS1214	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS1230	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS1279	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	S	S	S		0
NSS	Enterococcus faecalis	NS1288	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1289	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS1290	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS1298	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	I	I	S	S		1
NSS	Enterococcus faecalis	NS1309	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	I	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1318	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	S	S		2
NSS	Enterococcus faecalis	NS1336	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	R	S	S	S	S	R	R	S		3
NSS	Enterococcus faecalis	NS1365	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	I	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS1369	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	S	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS1412	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	I	S	S	S	S	S	I	S	S		0
NSS	Enterococcus faecalis	NS1464	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	S	S	S	S	S	R	S	S		1
NSS	Enterococcus faecalis	NS1477	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	I	S	S		2
NSS	Enterococcus faecalis	NS1492	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	R	R	S	S	S	S	R	S	S		3
NSS	Enterococcus faecalis	NS1577	Human clinical; CLS	Canada: Alberta	53.9333° N, 116.5765° W	S	S	S	S	S	S	S	S	S	R	S	S		1
