Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14026490,2021-03-22 03:16:12,2021-03-22 03:12:22,385951,189183066,385951,490,120,,https://sra-download.ncbi.nlm.nih.gov/traces/sra63/SRR/013697/SRR14026490,SRX10403064,EntR-0194,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525758,SAMN14000275,simple,1352,Enterococcus faecium,EntR-0194,,,,,,,no,,,,,NML,SRA1208654,,public,6317051454507E0CEA56E4A3D9792CCB,7AE090C599FEC742A7DD73DE9740CB1C
SRR14026544,2021-03-22 03:29:21,2021-03-22 03:26:07,556544,318322971,556544,571,220,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/013697/SRR14026544,SRX10403126,NS-0120,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525820,SAMN14000076,simple,1352,Enterococcus faecium,NS-0120,,,,,,,no,,,,,NML,SRA1208655,,public,5B54D7422EBC7419CB05E771DB1FFA16,EB1BC0CCE3D05443F265B9BB6D300513
SRR14026546,2021-03-22 03:32:41,2021-03-22 03:25:54,802457,421395081,802457,525,274,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/013697/SRR14026546,SRX10403124,NS-0171,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525818,SAMN14000100,simple,1352,Enterococcus faecium,NS-0171,,,,,,,no,,,,,NML,SRA1208655,,public,4F84D09C244A3F79B5E4CC56DD9DB077,376691415F663FDECAB63290A146D625
SRR14026523,2021-03-22 03:29:21,2021-03-22 03:25:51,652227,360014463,652227,551,258,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/013697/SRR14026523,SRX10403147,NS-0176,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525841,SAMN14000097,simple,1352,Enterococcus faecium,NS-0176,,,,,,,no,,,,,NML,SRA1208655,,public,63FBC65C34D65FAFEB724DE63983B3FC,4963B161BA2F89F2D44DC4C91100DC23
SRR14026526,2021-03-22 03:29:21,2021-03-22 03:25:28,683277,326013844,683277,477,203,,https://sra-download.ncbi.nlm.nih.gov/traces/sra6/SRR/013697/SRR14026526,SRX10403144,NS-0211,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525838,SAMN14000066,simple,1352,Enterococcus faecium,NS-0211,,,,,,,no,,,,,NML,SRA1208655,,public,50BA08BD05F95E5C4A5ABDDD5D5816A8,1CE2B03AB90C31CEAA7B5E94FD1C3D29
SRR14026509,2021-03-22 03:29:21,2021-03-22 03:25:10,482028,270812824,482028,561,185,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/013697/SRR14026509,SRX10403161,NS-0215,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525855,SAMN14000075,simple,1352,Enterococcus faecium,NS-0215,,,,,,,no,,,,,NML,SRA1208655,,public,CCE1520F0E31554D64E2EFFC5A8AD07B,995EC05DAAD80484B7BF187F32F62979
SRR14026510,2021-03-22 03:29:21,2021-03-22 03:25:12,419422,233422572,419422,556,168,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/013697/SRR14026510,SRX10403160,NS-0216,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525854,SAMN14000098,simple,1352,Enterococcus faecium,NS-0216,,,,,,,no,,,,,NML,SRA1208655,,public,EB0A1AFD73C7013144C51872704EBE10,3D025486D20180B7B10AACD6F0F46B91
SRR14026527,2021-03-22 03:31:00,2021-03-22 03:25:26,675833,369085573,675833,546,261,,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/013697/SRR14026527,SRX10403143,NS-0441,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525837,SAMN14000099,simple,1352,Enterococcus faecium,NS-0441,,,,,,,no,,,,,NML,SRA1208655,,public,FACCC50FC1A5DA81DA318E74FE74F086,6A96F745D68CDEF8FA64048915371478
SRR14026551,2021-03-22 03:29:21,2021-03-22 03:26:09,669572,368142968,669572,549,265,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/013697/SRR14026551,SRX10403119,NS-0554,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525813,SAMN14000095,simple,1352,Enterococcus faecium,NS-0554,,,,,,,no,,,,,NML,SRA1208655,,public,C9779AC8253DBB980C778191DEDD68C8,2CF473925C422F0063F9575036449E2F
SRR14026511,2021-03-22 03:29:21,2021-03-22 03:25:14,512237,270955552,512237,528,197,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/013697/SRR14026511,SRX10403159,NS-0590,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525853,SAMN14000096,simple,1352,Enterococcus faecium,NS-0590,,,,,,,no,,,,,NML,SRA1208655,,public,E111F01C2DFE29FB47EF0A9D6E763740,DE66DFE21E14B9F812D36FFBA3F4BC59
SRR14026537,2021-03-22 03:31:00,2021-03-22 03:25:14,358455,179915684,358455,501,121,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/013697/SRR14026537,SRX10403133,NS-0641,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525827,SAMN14000094,simple,1352,Enterococcus faecium,NS-0641,,,,,,,no,,,,,NML,SRA1208655,,public,57CCD0D634BAAFD58E5A59EA29F94833,79506665FE56F36802E795E8F35B22A5
SRR14026553,2021-03-22 03:29:21,2021-03-22 03:26:14,538126,281687197,538126,523,182,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/013697/SRR14026553,SRX10403117,NS-0721,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525811,SAMN14000092,simple,1352,Enterococcus faecium,NS-0721,,,,,,,no,,,,,NML,SRA1208655,,public,FF41ED3298ED8113E562A48BCE9487C7,E113C6B4E8C6FE5817D86402ED5BCD6C
SRR14026540,2021-03-22 03:35:11,2021-03-22 03:25:59,443422,230647951,443422,520,146,,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/013697/SRR14026540,SRX10403130,NS-0734,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525824,SAMN14000093,simple,1352,Enterococcus faecium,NS-0734,,,,,,,no,,,,,NML,SRA1208655,,public,AB556B0C9C0CCA782D5B6692F71F9C79,58946C3A154FC9D7264F439AC7DA7BDB
SRR14026555,2021-03-22 03:29:21,2021-03-22 03:26:19,1013098,536515355,1013098,529,351,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/013697/SRR14026555,SRX10403115,NS-0790,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525809,SAMN14000085,simple,1352,Enterococcus faecium,NS-0790,,,,,,,no,,,,,NML,SRA1208655,,public,8E58BD4F640569AD78D09B5ED0AFAEC1,527EF4260A254F4D6CEF3CE89CE263B4
SRR14026517,2021-03-22 03:29:21,2021-03-22 03:25:14,483629,267616889,483629,553,185,,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/013697/SRR14026517,SRX10403153,NS-0794,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525847,SAMN14000086,simple,1352,Enterococcus faecium,NS-0794,,,,,,,no,,,,,NML,SRA1208655,,public,ABF250443D8EA5D1903B99FCA7CECAD5,7C21CA56645731083D7F6C2549CCAB3D
SRR14026531,2021-03-22 03:29:21,2021-03-22 03:25:43,669138,352597924,669138,526,217,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/013697/SRR14026531,SRX10403139,NS-0901,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525833,SAMN14000068,simple,1352,Enterococcus faecium,NS-0901,,,,,,,no,,,,,NML,SRA1208655,,public,014B0D82538650F3712B041431EDE054,DA48E942BF2CD956D63B0586E79F1934
SRR14026554,2021-03-22 03:31:00,2021-03-22 03:26:01,755843,419856784,755843,555,264,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/013697/SRR14026554,SRX10403116,NS-0940,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525810,SAMN14000087,simple,1352,Enterococcus faecium,NS-0940,,,,,,,no,,,,,NML,SRA1208655,,public,20C7DE0CE93EDF71EFE7B267298370E2,2628D6AA543419926989F0164116A16F
SRR14026516,2021-03-22 03:29:21,2021-03-22 03:25:24,352225,199087755,352225,565,128,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/013697/SRR14026516,SRX10403154,NS-0972,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525848,SAMN14000088,simple,1352,Enterococcus faecium,NS-0972,,,,,,,no,,,,,NML,SRA1208655,,public,22D359C6B48748CE48107FBEBC508EE0,2C98784D1DC20855DAE3930814C5124D
SRR14026529,2021-03-22 03:29:21,2021-03-22 03:25:28,330811,188736060,330811,570,120,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/013697/SRR14026529,SRX10403141,NS-1001,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525835,SAMN14000089,simple,1352,Enterococcus faecium,NS-1001,,,,,,,no,,,,,NML,SRA1208655,,public,C46B970EC441D578A9E4BFA34AC58762,3FCC34B10BC85C89161204B78237FFD5
SRR14026539,2021-03-22 03:29:21,2021-03-22 03:25:28,389383,218418164,389383,560,139,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/013697/SRR14026539,SRX10403131,NS-1042,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525825,SAMN14000090,simple,1352,Enterococcus faecium,NS-1042,,,,,,,no,,,,,NML,SRA1208655,,public,A25540C0E8030FB86C245976B49B851A,85A2E560B1F7CFC751ED4EA86BFDF1B2
SRR14026534,2021-03-22 03:29:21,2021-03-22 03:25:31,423988,236105372,423988,556,148,,https://sra-download.ncbi.nlm.nih.gov/traces/sra72/SRR/013697/SRR14026534,SRX10403136,NS-1050,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525830,SAMN14000091,simple,1352,Enterococcus faecium,NS-1050,,,,,,,no,,,,,NML,SRA1208655,,public,28CE620E437BA06BD7D5FC613AE214A5,BA5B9DAFC22D1BD5D24AC177E24988C4
SRR14026552,2021-03-22 03:32:41,2021-03-22 03:26:01,474934,280117268,474934,589,183,,https://sra-download.ncbi.nlm.nih.gov/traces/sra61/SRR/013697/SRR14026552,SRX10403118,NS-1332,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525812,SAMN14000080,simple,1352,Enterococcus faecium,NS-1332,,,,,,,no,,,,,NML,SRA1208655,,public,B499D9592EEDF9DDBB835DE18F62C40E,4035C260E77798E90C9C67D8EB3F9963
SRR14026515,2021-03-22 03:31:01,2021-03-22 03:25:27,358499,211888771,358499,591,133,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/013697/SRR14026515,SRX10403155,NS-1359,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525849,SAMN14000081,simple,1352,Enterococcus faecium,NS-1359,,,,,,,no,,,,,NML,SRA1208655,,public,9C9E9E40B1A58119F9F38A9ECFA74B96,714EF4037DA530EF34B38F82D49DDDCC
SRR14026536,2021-03-22 03:31:00,2021-03-22 03:25:12,309061,182841955,309061,591,121,,https://sra-download.ncbi.nlm.nih.gov/traces/sra26/SRR/013697/SRR14026536,SRX10403134,NS-1438,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525828,SAMN14000079,simple,1352,Enterococcus faecium,NS-1438,,,,,,,no,,,,,NML,SRA1208655,,public,F0C9832C05CE6079D482F27500EADADA,C86C5A36C5ACDABDCB791775231FC260
SRR14026530,2021-03-22 03:29:21,2021-03-22 03:25:32,415802,244470921,415802,587,150,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/013697/SRR14026530,SRX10403140,NS-1531,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525834,SAMN14000082,simple,1352,Enterococcus faecium,NS-1531,,,,,,,no,,,,,NML,SRA1208655,,public,3F5C22B53107EC8572040176F4D58086,61FEF076B242071E9F1A077E99BCBD8C
SRR14026519,2021-03-22 03:31:00,2021-03-22 03:25:30,327305,192142658,327305,587,119,,https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRR/013697/SRR14026519,SRX10403151,NS-1659,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP306461,PRJNA604849,3,604849,SRS8525845,SAMN14000083,simple,1352,Enterococcus faecium,NS-1659,,,,,,,no,,,,,NML,SRA1208655,,public,07571100E68E34D33C7B55FD5383D828,E9869E34D0B356A2026889DCDFDD1E42
